기간	자치구	계	국립도서관	공공도서관	대학도서관	전문도서관
2018	합계	526	3	173	88	262
2018	종로구	50	-	7	7	36
2018	중구	57	-	5	2	50
2018	용산구	21	-	4	3	14
2018	성동구	8	-	6	2	-
2018	광진구	10	-	4	3	3
2018	동대문구	18	-	4	4	10
2018	중랑구	7	-	4	2	1
2018	성북구	23	-	10	8	5
2018	강북구	12	-	7	3	2
2018	도봉구	7	-	6	1	-
2018	노원구	23	-	11	7	5
2018	은평구	11	-	7	1	3
2018	서대문구	20	-	4	11	5
2018	마포구	22	-	6	3	13
2018	양천구	13	-	9	-	4
2018	강서구	16	-	9	3	4
2018	구로구	16	-	11	3	2
2018	금천구	6	-	4	1	1
2018	영등포구	37	1	5	2	29
2018	동작구	16	-	6	5	5
2018	관악구	10	-	5	3	2
2018	서초구	52	2	6	8	36
2018	강남구	39	-	13	3	23
2018	송파구	20	-	12	2	6
2018	강동구	12	-	8	1	3
