기간	구분	아황산가스(ppm)	일산화탄소(ppm)	이산화질소(ppm)	미세먼지(㎍/㎥)	초미세먼지(㎍/㎥)	오존(ppm)
2018	국가환경기준	0.02	9	0.03	50	15	0.06
2018	서울시기준	0.01	9	0.03	50	15	0.06
2018	평 균	0.004	0.5	0.028	40	23	0.023
2018	종로구	0.005	0.6	0.032	35	21	0.025
2018	중구	0.003	0.5	0.031	36	22	0.025
2018	용산구	0.004	0.4	0.03	34	23	0.022
2018	성동구	0.005	0.4	0.026	42	24	0.018
2018	광진구	0.005	0.6	0.027	40	21	0.021
2018	동대문구	0.007	0.5	0.033	36	23	0.021
2018	중랑구	0.006	0.5	0.026	35	21	0.022
2018	성북구	0.004	0.6	0.029	42	22	0.021
2018	강북구	0.003	0.4	0.021	35	19	0.029
2018	도봉구	0.005	0.6	0.023	41	23	0.026
2018	노원구	0.005	0.5	0.026	39	22	0.023
2018	은평구	0.004	0.5	0.025	42	26	0.028
2018	서대문구	0.004	0.6	0.024	41	23	0.026
2018	마포구	0.004	0.5	0.026	44	25	0.024
2018	양천구	0.004	0.5	0.033	37	23	0.022
2018	강서구	0.004	0.5	0.031	39	22	0.025
2018	구로구	0.005	0.4	0.026	43	23	0.026
2018	금천구	0.004	0.5	0.031	39	23	0.023
2018	영등포구	0.005	0.6	0.027	48	28	0.022
2018	동작구	0.004	0.5	0.029	40	22	0.025
2018	관악구	0.004	0.4	0.032	44	27	0.023
2018	서초구	0.004	0.4	0.028	42	22	0.025
2018	강남구	0.005	0.5	0.031	35	22	0.017
2018	송파구	0.004	0.6	0.027	42	22	0.024
2018	강동구	0.005	0.5	0.03	44	23	0.021
