시군구별(2)	응답자수 (명)	조율 (%)	조율표준오차	표준화율 (%)	표준화율표준오차
소계	22900 	59.7 	0.4 	62.8 	0.3 
강남구	917 	62.7 	1.7 	65.2 	1.4 
강동구	917 	60.1 	1.5 	62.5 	1.8 
강북구	915 	55.2 	1.9 	60.7 	1.8 
강서구	916 	57.3 	2.1 	60.7 	1.6 
관악구	915 	61.2 	1.7 	63.2 	1.6 
광진구	917 	61.5 	1.6 	64.0 	1.6 
구로구	915 	65.8 	1.8 	69.3 	1.6 
금천구	917 	54.9 	1.9 	57.5 	1.8 
노원구	916 	55.4 	1.5 	58.0 	1.8 
도봉구	912 	62.5 	1.8 	67.3 	1.7 
동대문구	920 	58.3 	1.7 	61.4 	1.6 
동작구	915 	60.2 	1.7 	63.0 	1.7 
마포구	916 	56.6 	1.8 	59.0 	1.5 
서대문구	915 	54.5 	1.6 	58.4 	1.7 
서초구	916 	60.2 	1.5 	62.8 	1.5 
성동구	917 	64.6 	1.8 	67.5 	1.4 
성북구	915 	63.4 	2.0 	66.8 	1.7 
송파구	924 	64.4 	1.6 	66.4 	1.4 
양천구	917 	63.4 	1.6 	65.3 	1.6 
영등포구	916 	52.0 	1.7 	54.4 	1.7 
용산구	916 	57.8 	2.2 	61.3 	1.9 
은평구	915 	56.9 	1.7 	60.8 	1.7 
종로구	913 	52.6 	1.9 	56.4 	1.9 
중구	913 	60.4 	1.7 	64.5 	1.6 
중랑구	915 	59.6 	1.9 	64.0 	1.7 
