구군별(1)	합계_가구수 (가구)	합계_가구원수 (명)	국민기초생활보장법_가구수 (가구)	국민기초생활보장법_가구원수 (명)	한부모가족지원법_가구수 (가구)	한부모가족지원법_가구원수 (명)
합계	"34,824"	"81,703"	"25,234"	"48,949"	"9,590"	"32,754"
강남구	"1,058"	"2,563"	804	"1,691"	254	872
강동구	"1,354"	"3,235"	947	"1,888"	407	"1,347"
강북구	"2,161"	"5,087"	"1,610"	"3,140"	551	"1,947"
강서구	"2,356"	"5,595"	"1,556"	"3,062"	800	"2,533"
관악구	"1,573"	"3,687"	"1,065"	"2,090"	508	"1,597"
광진구	"1,335"	"3,152"	976	"1,834"	359	"1,318"
구로구	"1,353"	"3,010"	914	"1,667"	439	"1,343"
금천구	"1,338"	"3,094"	969	"1,857"	369	"1,237"
노원구	"2,783"	"6,367"	"2,193"	"4,319"	590	"2,048"
도봉구	"1,829"	"4,307"	"1,394"	"2,665"	435	"1,642"
동대문구	"1,293"	"3,004"	980	"1,845"	313	"1,159"
동작구	"1,065"	"2,497"	818	"1,592"	247	905
마포구	981	"2,264"	648	"1,290"	333	974
서대문구	"1,102"	"2,597"	733	"1,400"	369	"1,197"
서초구	597	"1,420"	400	826	197	594
성동구	882	"2,006"	642	"1,204"	240	802
성북구	"1,608"	"3,867"	"1,115"	"2,180"	493	"1,687"
송파구	"1,774"	"4,237"	"1,319"	"2,658"	455	"1,579"
양천구	"1,606"	"3,838"	"1,164"	"2,250"	442	"1,588"
영등포구	661	"1,529"	470	869	191	660
용산구	668	"1,454"	492	887	176	567
은평구	"2,260"	"5,355"	"1,744"	"3,488"	516	"1,867"
종로구	391	923	237	453	154	470
중구	371	850	268	487	103	363
중랑구	"2,425"	"5,765"	"1,776"	"3,307"	649	"2,458"
