시군구별(2)	시군구별(3)	응답자수 (명)	조율 (%)	조율표준오차	표준화율 (%)	표준화율표준오차
소계	소계	22904 	18.6 	0.3 	19.8 	0.3 
강남구	소계	917 	18.0 	1.2 	19.9 	1.3 
강동구	소계	917 	15.6 	1.4 	15.8 	1.3 
강북구	소계	914 	23.5 	1.6 	25.7 	1.7 
강서구	소계	916 	18.9 	1.2 	19.8 	1.3 
관악구	소계	915 	22.6 	1.2 	23.5 	1.3 
광진구	소계	917 	21.2 	1.7 	22.8 	1.5 
구로구	소계	915 	17.9 	1.1 	18.7 	1.5 
금천구	소계	917 	22.9 	1.5 	23.8 	1.5 
노원구	소계	916 	17.6 	1.3 	19.5 	1.3 
도봉구	소계	915 	19.5 	1.3 	21.1 	1.5 
동대문구	소계	920 	17.8 	1.2 	18.8 	1.4 
동작구	소계	917 	17.3 	1.6 	18.4 	1.5 
마포구	소계	916 	16.8 	1.3 	17.8 	1.2 
서대문구	소계	914 	18.9 	1.2 	21.1 	1.5 
서초구	소계	916 	15.0 	1.2 	16.3 	1.2 
성동구	소계	917 	19.5 	1.3 	20.4 	1.3 
성북구	소계	915 	19.2 	1.4 	20.6 	1.4 
송파구	소계	924 	14.9 	1.4 	16.1 	1.4 
양천구	소계	917 	16.1 	1.4 	16.7 	1.3 
영등포구	소계	917 	15.7 	1.3 	17.2 	1.3 
용산구	소계	915 	17.7 	1.4 	18.8 	1.6 
은평구	소계	915 	21.5 	1.6 	23.3 	1.5 
종로구	소계	913 	18.6 	1.3 	19.8 	1.5 
중구	소계	914 	23.0 	1.9 	25.0 	1.5 
중랑구	소계	915 	21.5 	1.4 	22.9 	1.7 
