기간	자치구	계	계	지역아동센터	지역아동센터	지역아동센터	지역아동센터	아동상담소	아동상담소
기간	자치구	시설수	이용자수	시설수	이용자수	이용자수	이용자수	시설수	이용자수
기간	자치구	시설수	이용자수	시설수	계	남자	여자	시설수	이용자수
2017	합계	427	11,434	426	11,384	5,898	5,486	1	50
2017	종로구	12	282	12	282	139	143	-	-
2017	중구	5	164	5	164	79	85	-	-
2017	용산구	5	121	5	121	67	54	-	-
2017	성동구	11	299	11	299	159	140	-	-
2017	광진구	17	442	17	442	211	231	-	-
2017	동대문구	13	387	13	387	186	201	-	-
2017	중랑구	25	717	24	667	324	343	1	50
2017	성북구	27	787	27	787	405	382	-	-
2017	강북구	22	501	22	501	249	252	-	-
2017	도봉구	18	546	18	546	317	229	-	-
2017	노원구	21	555	21	555	277	278	-	-
2017	은평구	27	754	27	754	425	329	-	-
2017	서대문구	8	211	8	211	101	110	-	-
2017	마포구	11	320	11	320	170	150	-	-
2017	양천구	24	608	24	608	336	272	-	-
2017	강서구	19	419	19	419	197	222	-	-
2017	구로구	21	538	21	538	262	276	-	-
2017	금천구	27	789	27	789	391	398	-	-
2017	영등포구	15	448	15	448	222	226	-	-
2017	동작구	23	507	23	507	267	240	-	-
2017	관악구	27	799	27	799	431	368	-	-
2017	서초구	7	161	7	161	71	90	-	-
2017	강남구	3	70	3	70	41	29	-	-
2017	송파구	19	512	19	512	272	240	-	-
2017	강동구	20	497	20	497	299	198	-	-
