기간	행정자치구	학교수	학급수	학생수	학생수	학생수	교원수	교원수	교원수	직원수	직원수	직원수	졸업자현황	졸업자현황	입학자수	교지면적	건물면적	교실수
기간	행정자치구	학교수	학급수	계	남자	여자	계	남자	여자	계	남자	여자	졸업자수	진학자수	입학자수	교지면적	건물면적	교실수
기간	행정자치구	학교수	학급수	계	남자	여자	계	남자	여자	계	남자	여자	졸업자수	진학자수	입학자수	교지면적	건물면적	교실수
2018	서울시	603	18,585	424,800	218,464	206,336	28,992	3,791	25,201	3,025	1,313	1,712	67,742	67,722	70,686	7,210	5,892	25,042
2018	종로구	13	277	5,507	2,844	2,663	446	61	385	56	27	29	904	903	861	114	98	374
2018	중구	12	246	5,226	2,557	2,669	398	63	335	73	38	35	832	832	897	117	99	394
2018	용산구	15	357	7,460	3,833	3,627	578	68	510	67	28	39	1,211	1,210	1,225	188	117	506
2018	성동구	21	585	11,922	6,068	5,854	972	124	848	112	55	57	1,855	1,855	2,109	201	234	868
2018	광진구	22	656	15,016	7,669	7,347	1,020	138	882	118	59	59	2,364	2,363	2,494	218	206	932
2018	동대문구	21	621	13,721	7,093	6,628	968	117	851	114	60	54	2,132	2,130	2,309	278	209	897
2018	중랑구	23	701	15,336	7,847	7,489	1,070	164	906	115	53	62	2,361	2,361	2,656	266	273	973
2018	성북구	29	908	21,564	11,091	10,473	1,405	225	1,180	150	63	87	3,380	3,379	3,596	333	302	1,261
2018	강북구	14	468	10,654	5,434	5,220	736	141	595	79	33	46	1,827	1,827	1,754	179	161	626
2018	도봉구	23	721	15,962	8,250	7,712	1,041	188	853	111	52	59	2,492	2,492	2,595	279	219	1,009
2018	노원구	42	1,239	27,558	14,096	13,462	1,851	354	1,497	220	103	117	4,893	4,892	4,242	484	366	1,722
2018	은평구	30	933	22,028	11,388	10,640	1,428	187	1,241	145	63	82	3,438	3,437	3,630	395	299	1,259
2018	서대문구	19	579	13,027	6,618	6,409	910	112	798	103	50	53	2,109	2,109	2,162	221	196	783
2018	마포구	22	685	15,432	7,851	7,581	1,098	125	973	111	44	67	2,445	2,443	2,462	239	214	899
2018	양천구	30	1,029	24,481	12,664	11,817	1,526	173	1,353	153	61	92	4,357	4,356	3,739	355	290	1,328
2018	강서구	36	1,184	26,949	13,868	13,081	1,768	230	1,538	182	78	104	4,116	4,116	4,826	424	347	1,467
2018	구로구	24	827	18,820	9,557	9,263	1,297	166	1,131	119	51	68	2,710	2,710	3,327	308	233	1,063
2018	금천구	18	445	8,883	4,534	4,349	712	106	606	81	36	45	1,391	1,391	1,566	202	157	603
2018	영등포구	23	664	13,881	7,132	6,749	1,081	141	940	113	44	69	2,129	2,129	2,448	300	217	930
2018	동작구	21	687	16,366	8,460	7,906	1,094	142	952	110	55	55	2,589	2,589	2,811	259	213	897
2018	관악구	22	715	15,768	8,130	7,638	1,147	157	990	102	42	60	2,572	2,572	2,695	279	226	995
2018	서초구	24	881	23,182	11,835	11,347	1,369	116	1,253	125	45	80	3,536	3,533	3,863	304	212	1,027
2018	강남구	33	985	24,858	12,992	11,866	1,610	128	1,482	160	55	105	4,203	4,200	3,970	443	365	1,330
2018	송파구	39	1,337	31,368	16,179	15,189	2,133	207	1,926	194	74	120	5,019	5,016	5,221	464	382	1,673
2018	강동구	27	855	19,831	10,474	9,357	1,334	158	1,176	112	44	68	2,877	2,877	3,228	361	256	1,226
