gu	schools	students	dolbom_avg	students_par_per	hanbumo	base	dolbom_total
강남구	33	24858	3	7	254	804	92
강동구	27	19831	4	8	407	947	97
강북구	14	10654	3	8	551	1610	38
강서구	36	26949	3	8	800	1556	104
관악구	22	15768	3	9	508	1065	66
광진구	22	15016	3	8	359	976	57
구로구	24	18820	3	9	439	914	79
금천구	18	8883	3	11	369	969	54
노원구	42	27558	3	8	590	2193	118
도봉구	23	15962	3	9	435	1394	74
동대문구	21	13721	3	9	313	980	63
동작구	21	16366	3	9	247	818	67
마포구	22	15432	3	8	333	648	68
서대문구	19	13027	2	6	369	733	40
서초구	24	23182	3	6	197	400	70
성동구	21	11922	3	10	240	642	65
성북구	29	21564	2	7	493	1115	67
송파구	39	31368	3	7	455	1319	117
양천구	30	24481	3	7	442	1164	90
영등포구	23	13881	4	12	191	470	81
용산구	15	7460	3	11	176	492	39
은평구	30	22028	3	8	516	1744	96
종로구	13	5507	2	10	154	237	29
중구	12	5226	2	9	103	268	24
중랑구	23	15336	4	12	649	1776	92
