행정자치구,학교수,학생수,초등돌봄운영교실 수 평균(개),초등돌봄학생참여율(%),한부모가족지원법_가구수 (가구),국민기초생활보장법_가구수 (가구)
강남구,33,"24,858",2.8,6.6,254,804
강동구,27,"19,831",3.6,7.9,407,947
강북구,14,"10,654",2.7,7.5,551,"1,610"
강서구,36,"26,949",2.9,8.2,800,"1,556"
관악구,22,"15,768",3,9.3,508,"1,065"
광진구,22,"15,016",2.6,7.5,359,976
구로구,24,"18,820",3.3,9.3,439,914
금천구,18,"8,883",3,10.8,369,969
노원구,42,"27,558",2.8,8.4,590,"2,193"
도봉구,23,"15,962",3.2,9.2,435,"1,394"
동대문구,21,"13,721",3,9.4,313,980
동작구,21,"16,366",3.2,8.8,247,818
마포구,22,"15,432",3.1,8.4,333,648
서대문구,19,"13,027",2.1,6.2,369,733
서초구,24,"23,182",2.9,6.2,197,400
성동구,21,"11,922",3.1,9.8,240,642
성북구,29,"21,564",2.3,6.8,493,"1,115"
송파구,39,"31,368",3,6.7,455,"1,319"
양천구,30,"24,481",3,7.1,442,"1,164"
영등포구,23,"13,881",3.5,12.3,191,470
용산구,15,"7,460",2.6,10.7,176,492
은평구,30,"22,028",3.2,7.9,516,"1,744"
종로구,13,"5,507",2.2,9.9,154,237
중구,12,"5,226",2,9.2,103,268
중랑구,23,"15,336",4,12,649,"1,776"
