행정자치구	학교수	학생수	초등돌봄운영교실 수 평균(개)	초등돌봄학생참여율(%)	합계_가구수 (가구)	국민기초생활보장법_가구수 (가구)
강남구	33 	24858 	3 	7 	1058 	804 
강동구	27 	19831 	4 	8 	1354 	947 
강북구	14 	10654 	3 	8 	2161 	1610 
강서구	36 	26949 	3 	8 	2356 	1556 
관악구	22 	15768 	3 	9 	1573 	1065 
광진구	22 	15016 	3 	8 	1335 	976 
구로구	24 	18820 	3 	9 	1353 	914 
금천구	18 	8883 	3 	11 	1338 	969 
노원구	42 	27558 	3 	8 	2783 	2193 
도봉구	23 	15962 	3 	9 	1829 	1394 
동대문구	21 	13721 	3 	9 	1293 	980 
동작구	21 	16366 	3 	9 	1065 	818 
마포구	22 	15432 	3 	8 	981 	648 
서대문구	19 	13027 	2 	6 	1102 	733 
서초구	24 	23182 	3 	6 	597 	400 
성동구	21 	11922 	3 	10 	882 	642 
성북구	29 	21564 	2 	7 	1608 	1115 
송파구	39 	31368 	3 	7 	1774 	1319 
양천구	30 	24481 	3 	7 	1606 	1164 
영등포구	23 	13881 	4 	12 	661 	470 
용산구	15 	7460 	3 	11 	668 	492 
은평구	30 	22028 	3 	8 	2260 	1744 
종로구	13 	5507 	2 	10 	391 	237 
중구	12 	5226 	2 	9 	371 	268 
중랑구	23 	15336 	4 	12 	2425 	1776 
