행정자치구	학교수	학생수	초등돌봄운영교실 수 평균(개)	초등돌봄학생참여율(%)	한부모가족지원법_가구수 (가구)	국민기초생활보장법_가구수 (가구)
강남구	33 	24858 	90 	6.6 	254 	804 
강동구	27 	19831 	94 	7.9 	407 	947 
강북구	14 	10654 	43 	7.5 	551 	1610 
강서구	36 	26949 	121 	8.2 	800 	1556 
관악구	22 	15768 	89 	9.3 	508 	1065 
광진구	22 	15016 	69 	7.5 	359 	976 
구로구	24 	18820 	106 	9.3 	439 	914 
금천구	18 	8883 	63 	10.8 	369 	969 
노원구	42 	27558 	126 	8.4 	590 	2193 
도봉구	23 	15962 	73 	9.2 	435 	1394 
동대문구	21 	13721 	73 	9.4 	313 	980 
동작구	21 	16366 	83 	8.8 	247 	818 
마포구	22 	15432 	71 	8.4 	333 	648 
서대문구	19 	13027 	47 	6.2 	369 	733 
서초구	24 	23182 	68 	6.2 	197 	400 
성동구	21 	11922 	75 	9.8 	240 	642 
성북구	29 	21564 	77 	6.8 	493 	1115 
송파구	39 	31368 	113 	6.7 	455 	1319 
양천구	30 	24481 	91 	7.1 	442 	1164 
영등포구	23 	13881 	81 	12.3 	191 	470 
용산구	15 	7460 	48 	10.7 	176 	492 
은평구	30 	22028 	103 	7.9 	516 	1744 
종로구	13 	5507 	35 	9.9 	154 	237 
중구	12 	5226 	31 	9.2 	103 	268 
중랑구	23 	15336 	93 	12.0 	649 	1776 
