기간	컬럼1	계	의사	치과의사	한의사	약사	조산사	간호사	간호조무사	의료기사	보건의료정보관리사
2018	합계	152548	29440	7207	4830	1813	13	47101	31016	30102	1026
2018	종로구	8789	2270	430	156	198	-	3360	834	1507	34
2018	중구	4658	907	283	128	38	-	1382	866	1011	43
2018	용산구	2407	556	139	75	19	1	701	432	452	32
2018	성동구	3450	711	168	106	33	-	1044	656	712	20
2018	광진구	4443	920	196	138	51	-	1279	998	837	24
2018	동대문구	7054	1212	362	317	83	2	2343	1386	1284	65
2018	중랑구	4155	641	176	131	32	-	1251	1020	868	36
2018	성북구	4971	945	208	139	52	-	1508	1134	940	45
2018	강북구	2884	407	153	110	17	-	440	1068	672	17
2018	도봉구	2636	387	129	106	21	-	711	666	602	14
2018	노원구	6347	1280	243	198	59	-	2016	1404	1114	33
2018	은평구	4025	556	212	166	37	1	854	1323	852	24
2018	서대문구	6834	1398	362	129	136	-	2975	766	1032	36
2018	마포구	3198	514	258	194	7	-	328	1078	807	12
2018	양천구	5470	958	280	209	58	1	1639	1224	1078	23
2018	강서구	5711	754	273	234	31	1	1246	1634	1503	35
2018	구로구	5409	988	228	135	58	-	1677	1205	1077	41
2018	금천구	2153	295	126	89	12	-	413	686	522	10
2018	영등포구	7700	1395	299	176	78	-	2494	1593	1606	59
2018	동작구	5170	974	231	162	76	-	1803	921	960	43
2018	관악구	3774	530	249	180	18	3	706	1111	960	17
2018	서초구	9850	1949	490	352	131	2	3051	1825	1994	56
2018	강남구	21297	4959	912	600	234	2	6399	4013	4035	143
2018	송파구	12652	2570	432	309	200	-	5026	1792	2203	120
2018	강동구	7511	1364	368	291	134	-	2455	1381	1474	44
