기간	행정자치구	학교수	학급수	학생수_계	학생수_남	학생수_여	교원수_계	교원수_남	교원수_여	직원수_계	직원수_남	직원수_여	졸업자현황_졸업자수	졸업자현황_진학자수	입학자수	교지면적	건물면적	교실수
2018	서울시	603 	18585 	424800 	218464 	206336 	28992 	3791 	25201 	3025 	1313 	1712 	67742 	67722 	70686 	7210 	5892 	25042 
2018	종로구	13 	277 	5507 	2844 	2663 	446 	61 	385 	56 	27 	29 	904 	903 	861 	114 	98 	374 
2018	중구	12 	246 	5226 	2557 	2669 	398 	63 	335 	73 	38 	35 	832 	832 	897 	117 	99 	394 
2018	용산구	15 	357 	7460 	3833 	3627 	578 	68 	510 	67 	28 	39 	1211 	1210 	1225 	188 	117 	506 
2018	성동구	21 	585 	11922 	6068 	5854 	972 	124 	848 	112 	55 	57 	1855 	1855 	2109 	201 	234 	868 
2018	광진구	22 	656 	15016 	7669 	7347 	1020 	138 	882 	118 	59 	59 	2364 	2363 	2494 	218 	206 	932 
2018	동대문구	21 	621 	13721 	7093 	6628 	968 	117 	851 	114 	60 	54 	2132 	2130 	2309 	278 	209 	897 
2018	중랑구	23 	701 	15336 	7847 	7489 	1070 	164 	906 	115 	53 	62 	2361 	2361 	2656 	266 	273 	973 
2018	성북구	29 	908 	21564 	11091 	10473 	1405 	225 	1180 	150 	63 	87 	3380 	3379 	3596 	333 	302 	1261 
2018	항북구	14 	468 	10654 	5434 	5220 	736 	141 	595 	79 	33 	46 	1827 	1827 	1754 	179 	161 	626 
2018	도봉구	23 	721 	15962 	8250 	7712 	1041 	188 	853 	111 	52 	59 	2492 	2492 	2595 	279 	219 	1009 
2018	노원구	42 	1239 	27558 	14096 	13462 	1851 	354 	1497 	220 	103 	117 	4893 	4892 	4242 	484 	366 	1722 
2018	은평구	30 	933 	22028 	11388 	10640 	1428 	187 	1241 	145 	63 	82 	3438 	3437 	3630 	395 	299 	1259 
2018	서대문구	19 	579 	13027 	6618 	6409 	910 	112 	798 	103 	50 	53 	2109 	2109 	2162 	221 	196 	783 
2018	마포구	22 	685 	15432 	7851 	7581 	1098 	125 	973 	111 	44 	67 	2445 	2443 	2462 	239 	214 	899 
2018	양천구	30 	1029 	24481 	12664 	11817 	1526 	173 	1353 	153 	61 	92 	4357 	4356 	3739 	355 	290 	1328 
2018	강서구	36 	1184 	26949 	13868 	13081 	1768 	230 	1538 	182 	78 	104 	4116 	4116 	4826 	424 	347 	1467 
2018	구로구	24 	827 	18820 	9557 	9263 	1297 	166 	1131 	119 	51 	68 	2710 	2710 	3327 	308 	233 	1063 
2018	금천구	18 	445 	8883 	4534 	4349 	712 	106 	606 	81 	36 	45 	1391 	1391 	1566 	202 	157 	603 
2018	영등포구	23 	664 	13881 	7132 	6749 	1081 	141 	940 	113 	44 	69 	2129 	2129 	2448 	300 	217 	930 
2018	동작구	21 	687 	16366 	8460 	7906 	1094 	142 	952 	110 	55 	55 	2589 	2589 	2811 	259 	213 	897 
2018	관악구	22 	715 	15768 	8130 	7638 	1147 	157 	990 	102 	42 	60 	2572 	2572 	2695 	279 	226 	995 
2018	서초구	24 	881 	23182 	11835 	11347 	1369 	116 	1253 	125 	45 	80 	3536 	3533 	3863 	304 	212 	1027 
2018	강남구	33 	985 	24858 	12992 	11866 	1610 	128 	1482 	160 	55 	105 	4203 	4200 	3970 	443 	365 	1330 
2018	송파구	39 	1337 	31368 	16179 	15189 	2133 	207 	1926 	194 	74 	120 	5019 	5016 	5221 	464 	382 	1673 
2018	강동구	27 	855 	19831 	10474 	9357 	1334 	158 	1176 	112 	44 	68 	2877 	2877 	3228 	361 	256 	1226 
